cell_id,row,col,lat,lon,elevation_m,drainage_poorness,rainfall_mm,rain_norm,elev_norm,elev_component,drain_component,rain_component,readiness_score,risk_class
27,5,1,28.6045,77.241,212.6980128451554,0.708704706823817,110.37854699477246,0.18025635712193216,0.5539298832024386,0.44607011679756137,0.708704706823817,0.18025635712193216,40.54032604338736,Medium
28,5,2,28.6045,77.25,211.25139603669135,0.27009926495341324,127.34809081588912,0.2809480772276321,0.4755538093997209,0.5244461906002791,0.27009926495341324,0.2809480772276321,36.34602138395039,Medium
29,5,3,28.6045,77.259,206.29872262016238,0.8091760776535503,153.98605460350564,0.43900903762603327,0.20722352667144794,0.7927764733285521,0.8091760776535503,0.43900903762603327,65.53694001287941,Medium
30,5,4,28.6045,77.268,205.41661250041344,0.20124310853991073,129.86097383535204,0.29585870277663856,0.1594317911938457,0.8405682088061543,0.20124310853991073,0.29585870277663856,46.285313132778704,Medium
31,6,0,28.613500000000002,77.232,216.79658677554121,0.1780328112162488,87.9734627573547,0.047311918852981305,0.7759860151195553,0.22401398488044466,0.1780328112162488,0.047311918852981305,14.183786505341034,Low
32,6,1,28.613500000000002,77.241,218.70455636901787,0.7357112571511746,152.7425189922411,0.431630304229847,0.8793576646100933,0.12064233538990665,0.7357112571511746,0.431630304229847,39.88047533661998,Medium
33,6,2,28.613500000000002,77.25,210.47300555052414,0.4477894044741516,107.5078514509558,0.16322258914008625,0.43338148716882624,0.5666185128311738,0.4477894044741516,0.16322258914008625,37.55528662654832,Medium
34,6,3,28.613500000000002,77.259,205.3845781420882,0.7481729781726353,168.94369722540728,0.5277627943682401,0.15769620564165862,0.8423037943583414,0.7481729781726353,0.5277627943682401,69.29546903158743,Medium
35,6,4,28.613500000000002,77.268,207.64508982420637,0.31915063971068125,113.22303063064788,0.19713459221935414,0.28016818950980454,0.7198318104901955,0.31915063971068125,0.19713459221935414,41.05826304869804,Medium
36,7,0,28.622500000000002,77.232,215.55831270005797,0.14982429564154637,211.99737620070158,0.7832292369903686,0.7088977165734388,0.2911022834265612,0.14982429564154637,0.7832292369903686,45.263356790583046,Medium
37,7,1,28.622500000000002,77.241,215.41772719000951,0.7915402117702074,118.66986830655051,0.22945434462428818,0.7012809515485328,0.29871904845146724,0.7915402117702074,0.22945434462428818,39.42184577502806,Medium
38,7,2,28.622500000000002,77.25,206.58065975224045,0.33287511096596845,137.11753935177296,0.33891678799156855,0.22249856380788147,0.7775014361921185,0.33287511096596845,0.33891678799156855,49.0910995605361,Medium
39,7,3,28.622500000000002,77.259,204.84362790220314,0.7470239796232961,182.54068869478678,0.6084428924160532,0.12838812925490276,0.8716118707450973,0.7470239796232961,0.6084428924160532,73.51973066330294,High
40,7,4,28.622500000000002,77.268,206.39372247173824,0.45132674331133565,100.7654273426418,0.12321525079882481,0.21237051192337697,0.787629488076623,0.45132674331133565,0.12321525079882481,43.77881069741819,Medium
41,8,0,28.631500000000003,77.232,219.47693315999084,0.20970775493480404,159.09839738416517,0.4693440067790633,0.9212041715901123,0.07879582840988775,0.20970775493480404,0.4693440067790633,26.774308138878705,Low
42,8,1,28.631500000000003,77.241,215.34273656237994,0.7968644990532889,202.28571017129713,0.7256033887117624,0.697218043575102,0.302781956424898,0.7968644990532889,0.7256033887117624,59.54311649967414,Medium
43,8,2,28.631500000000003,77.25,210.26870343522353,0.22979469061226476,85.7006706175509,0.033825914019146024,0.4223126280396054,0.5776873719603945,0.22979469061226476,0.033825914019146024,27.316961844686272,Low
44,8,3,28.631500000000003,77.259,206.89779260882142,0.7672337853402232,157.38535434129216,0.45917936992021374,0.23968046576507435,0.7603195342349256,0.7672337853402232,0.45917936992021374,64.15920312853652,Medium
45,8,4,28.631500000000003,77.268,203.04295601926515,0.3607891846867842,160.39531176993694,0.47703947235608635,0.030829749201603966,0.969170250798396,0.3607891846867842,0.47703947235608635,62.022267289356925,Medium
46,9,0,28.640500000000003,77.232,216.5603115832106,0.053648505186788153,181.2729148710924,0.600920337398757,0.7631848905898895,0.23681510941011052,0.053648505186788153,0.600920337398757,33.666554954973854,Medium
47,9,1,28.640500000000003,77.241,214.07872245808042,0.7296120277064576,100.52197156487672,0.12177066387938554,0.6287351791796294,0.3712648208203706,0.7296120277064576,0.12177066387938554,36.105395976549836,Medium
48,9,2,28.640500000000003,77.25,212.61424445243784,0.3261055272179889,97.18173547662894,0.10195079595422223,0.5493914057759685,0.45060859422403154,0.3261055272179889,0.10195079595422223,28.001970816459714,Low
49,9,3,28.640500000000003,77.259,208.18723657913694,0.8005113456642461,170.8776626246759,0.5392383121977142,0.30954109173776734,0.6904589082622327,0.8005113456642461,0.5392383121977142,65.74837791869285,Medium
50,9,4,28.640500000000003,77.268,202.47391968927454,0.3765412866624853,161.87938692932744,0.4858454887193086,0.0,1.0,0.3765412866624853,0.4858454887193086,63.847351715334476,Medium
